"","user.self","sys.self","elapsed","user.child","sys.child"
"1",3.08999999999999,0,4.48999999999998,NA,NA
"2",0.960000000000008,0,1.44999999999999,NA,NA
"3",10.57,0.0199999999999996,14.91,NA,NA
"4",25.55,0.26,36.84,NA,NA
"5",0.88000000000001,0.0300000000000002,1.30000000000001,NA,NA
"6",0.710000000000008,0.0199999999999996,1.02000000000004,NA,NA
"7",0.5,0,0.720000000000027,NA,NA
"8",0.679999999999993,0.0100000000000007,0.980000000000018,NA,NA
"9",2.12,0.0600000000000005,3.00999999999999,NA,NA
"10",0.75,0,1.15999999999997,NA,NA
"11",1.7,0.0199999999999996,2.40999999999997,NA,NA
"12",3.06,0.0899999999999999,4.43000000000001,NA,NA
"13",2.29000000000001,0.0200000000000005,3.21999999999997,NA,NA
"14",0.919999999999987,0.0299999999999994,1.31,NA,NA
"15",0.5,0,0.70999999999998,NA,NA
"16",1.25,0,1.80000000000001,NA,NA
